mukey,ssurgo_si_ft,ssurgo_si_base,n_components,ssurgo_si_m
2995064,81.296875,,3,24.7792875
1413696,89.954954954955,,4,27.4182702702703
3045890,62.7747252747253,,7,19.1337362637363
320813,84.6610169491525,,3,25.8046779661017
1536518,97.843137254902,,4,29.8225882352941
323676,76.1643835616438,,6,23.214904109589
1421178,53.5166666666667,,5,16.31188
1481007,89.5756097560976,,3,27.3026458536585
3102873,63.005376344086,,6,19.2040387096774
1725725,101,,1,30.7848
1421556,55.7731958762887,,8,16.9996701030928
1381585,80.7044776119403,,3,24.5987247761194
631619,74.0362694300518,,3,22.5662549222798
1380295,81.9666666666667,,4,24.98344
2995061,84.2222222222222,,4,25.6709333333333
1414089,74.1588785046729,,11,22.6036261682243
322076,60.8859416445623,,7,18.5580350132626
1454468,72.1689497716895,,5,21.997095890411
366738,81.1428571428571,,2,24.7323428571429
3103026,64.2551020408163,,8,19.5849551020408
1381628,85.5243445692884,,4,26.0678202247191
323398,71.9620253164557,,5,21.9340253164557
1479398,93.719298245614,,3,28.5656421052632
1424966,74.9337748344371,,7,22.8398145695364
1392039,68.1423611111111,,7,20.7697916666667
321066,60.8859416445623,,7,18.5580350132626
323656,81,,6,24.6888
1380345,89.4166666666667,,2,27.2542
886603,70.6216216216216,,6,21.5254702702703
1481039,84.8181818181818,,4,25.8525818181818
1586104,97.3269230769231,,3,29.6652461538462
1460104,64.5050847457627,,7,19.6611498305085
1453582,57.0759075907591,,6,17.3967366336634
1023326,82.5576923076923,,5,25.1635846153846
1479342,88.5,,1,26.9748
1414119,55.8,,5,17.00784
1408096,78.9833333333333,,5,24.07412
3103006,64.0434782608696,,6,19.520452173913
2760779,89.2322404371585,,5,27.1979868852459
1384123,56.3934426229508,,5,17.1887213114754
323372,60.8859416445623,,7,18.5580350132626
3121732,81.2727272727273,,4,24.7719272727273
324008,81.45625,,8,24.827865
320810,72.6190476190476,,9,22.1342857142857
575585,77.3333333333333,,1,23.5712
1425214,63.5769230769231,,8,19.3782461538462
575952,75,,1,22.86
366757,78.1666666666667,,2,23.8252
374881,82.5,,1,25.146
1529420,69.7643979057592,,3,21.2641884816754
2760793,80,,2,24.384
323641,76.8421052631579,,5,23.4214736842105
2888471,94.68,,3,28.858464
3102897,64.4387755102041,,7,19.6409387755102
700476,81.0034246575343,,4,24.6898438356164
321094,78.3571428571429,,2,23.8832571428571
1713203,68,,2,20.7264
323393,100,,3,30.48
1712905,53.1081081081081,,2,16.1873513513514
1413520,84.8067632850242,,7,25.8491014492754
1424951,80.5162162162162,,5,24.5413427027027
2727031,63.2558139534884,,3,19.2803720930233
132813,85.405498281787,,4,26.0315958762887
1483864,65.8947368421053,,2,20.0847157894737
2888357,85.9784946236559,,3,26.2062451612903
700487,80.9466666666667,,6,24.672544
320750,72.8066037735849,,5,22.1914528301887
