plot_key,SI_gada_plot,SI_gada_n,n_species
40.1967_-106.0531,12.8639365860382,1,1
43.1483_-122.859,19.0840543528053,6,1
44.4707_-123.5077,41.4241877321237,15,1
44.2062_-122.9614,45.5317605582917,5,1
45.7774_-115.6377,32.6322308491013,4,1
45.0074_-112.649,11.5197462767982,5,1
36.4653_-105.3368,8.51122462441102,4,1
46.3159_-112.3012,14.5065640518038,5,1
45.5564_-123.6697,40.4637251232472,1,1
46.7877_-114.3181,18.5438103714393,8,1
38.6881_-122.6335,18.9146114135319,6,1
46.9925_-116.6051,30.0002487253223,2,1
45.6303_-118.157,19.7077298716706,6,1
47.2469_-115.9751,20.8791621637857,4,1
36.2311_-105.6015,13.2144460395662,2,1
41.0515_-122.4238,17.6732566134615,5,1
41.8965_-122.586,23.7791451935949,15,1
45.9315_-117.8113,20.1471578381368,4,1
35.6876_-105.8173,14.3281683728673,1,1
42.7269_-111.4896,20.4984838744888,4,1
44.2533_-123.7588,37.5216392510039,13,1
46.0913_-115.2027,20.3429342938356,4,1
47.4548_-120.6755,25.0030609328345,6,1
46.1479_-123.4257,33.2721345271324,10,1
43.7995_-115.701,21.519203024561,4,1
40.162_-105.4589,10.1741620801045,10,1
45.1851_-123.5496,34.2569554318877,20,1
43.2278_-122.8204,31.5201969289538,25,1
48.8897_-118.4069,18.0012733352645,4,1
35.7288_-106.4922,17.722021523003,2,1
44.5221_-121.7188,32.1786975400227,6,1
44.2499_-122.2104,23.3490547795657,30,1
44.7655_-114.4768,8.61089831339822,4,1
46.3458_-123.3031,28.8226616540133,20,1
41.1352_-123.7025,28.750567410045,26,1
46.6151_-122.3911,22.9166814091773,15,1
46.0796_-114.8001,32.777553346025,3,1
46.0402_-123.3782,34.4769279246297,20,1
44.0743_-122.2757,26.3574982752956,15,1
38.3597_-119.9521,23.4091826050045,12,1
46.6133_-113.5529,15.2718922485484,4,1
43.636_-123.8427,51.4639336899789,5,1
42.9933_-122.7322,30.8981402813974,6,1
38.8528_-105.2324,16.4750486883336,6,2
34.2452_-112.359,21.5374329354726,12,1
38.7986_-120.5313,30.2511109541267,12,1
38.4422_-120.0737,20.6224232046207,4,1
35.7693_-106.776,13.2325359524621,2,1
41.1112_-121.9717,24.0435615572293,7,1
40.112_-111.2352,17.4422884303369,6,1
46.916_-120.9133,25.1750835492983,6,1
47.5245_-121.6432,31.2657698524087,23,1
35.2033_-106.4177,12.5038502102625,4,1
39.3242_-123.2722,21.8794710314483,9,1
40.3619_-123.7989,24.4647334143152,28,1
45.6114_-118.3734,25.4013394754597,3,1
46.1452_-121.9422,34.4038627386589,7,1
48.9519_-114.4115,24.6255425187756,2,1
46.8508_-109.0323,18.9872558821954,8,1
47.079_-123.177,38.8768606740641,26,1
39.3908_-105.347,16.5178276548853,1,1
45.7733_-121.7958,28.8970668744767,8,1
44.152_-123.7149,32.1479628654997,20,1
44.4219_-123.9264,33.0303162309629,23,1
48.6338_-120.5476,19.8731992183369,12,1
45.5574_-116.6883,30.3370160819452,9,1
43.1695_-123.6359,37.8052496233155,12,1
48.3532_-122.0191,25.9674673658068,22,1
46.5834_-123.4573,34.3014236381374,22,1
43.239_-122.3262,28.6926298006959,15,1
45.2805_-118.6403,20.514983380089,7,1
46.5896_-123.0864,35.7415766854329,20,1
48.0152_-123.0788,22.7732621254479,22,1
48.6242_-120.1451,20.5025461088813,8,1
46.9614_-116.4871,26.5552080416969,2,1
40.3634_-123.1973,19.0484221932743,4,1
48.8363_-117.2612,27.4106472471475,13,1
33.4394_-105.866,14.2630757438155,3,1
